cantNod,Res,Tiempo_ms,Tipo
255,6264,351.21,GrafoRandomDMediaHeurEmi
255,7039,576.765,GrafoRandomDMediaHeurNipo
255,6215,359.282,GrafoRandomDMediaHeurEmi
255,7062,573.913,GrafoRandomDMediaHeurNipo
255,6219,348.79,GrafoRandomDMediaHeurEmi
255,7077,565.245,GrafoRandomDMediaHeurNipo
255,6327,350.892,GrafoRandomDMediaHeurEmi
255,6985,565.369,GrafoRandomDMediaHeurNipo
255,6174,348.794,GrafoRandomDMediaHeurEmi
255,7060,550.764,GrafoRandomDMediaHeurNipo
255,6310,348.102,GrafoRandomDMediaHeurEmi
255,7091,585.461,GrafoRandomDMediaHeurNipo
255,6246,350.321,GrafoRandomDMediaHeurEmi
255,7063,578.077,GrafoRandomDMediaHeurNipo
255,6204,350.237,GrafoRandomDMediaHeurEmi
255,7060,566.648,GrafoRandomDMediaHeurNipo
255,6292,350.158,GrafoRandomDMediaHeurEmi
255,7026,564.147,GrafoRandomDMediaHeurNipo
255,6256,349.608,GrafoRandomDMediaHeurEmi
255,7015,490.412,GrafoRandomDMediaHeurNipo
255,6297,293.901,GrafoRandomDMediaHeurEmi
255,7050,571.998,GrafoRandomDMediaHeurNipo
255,6287,350.657,GrafoRandomDMediaHeurEmi
255,7003,553.647,GrafoRandomDMediaHeurNipo
255,6242,349.995,GrafoRandomDMediaHeurEmi
255,7027,603.999,GrafoRandomDMediaHeurNipo
255,6178,364.238,GrafoRandomDMediaHeurEmi
255,7013,582.731,GrafoRandomDMediaHeurNipo
255,6177,361.771,GrafoRandomDMediaHeurEmi
255,7061,568.549,GrafoRandomDMediaHeurNipo
255,6325,361.382,GrafoRandomDMediaHeurEmi
255,7034,572.697,GrafoRandomDMediaHeurNipo
255,6224,356.919,GrafoRandomDMediaHeurEmi
255,7033,571.213,GrafoRandomDMediaHeurNipo
255,6272,361.412,GrafoRandomDMediaHeurEmi
255,7055,586.181,GrafoRandomDMediaHeurNipo
255,6307,361.615,GrafoRandomDMediaHeurEmi
255,7046,586.994,GrafoRandomDMediaHeurNipo
255,6240,382.563,GrafoRandomDMediaHeurEmi
255,7098,566.47,GrafoRandomDMediaHeurNipo
255,6344,358.413,GrafoRandomDMediaHeurEmi
255,6983,567.244,GrafoRandomDMediaHeurNipo
255,6185,349.536,GrafoRandomDMediaHeurEmi
255,6965,550.738,GrafoRandomDMediaHeurNipo
255,6213,348.295,GrafoRandomDMediaHeurEmi
255,7034,575.846,GrafoRandomDMediaHeurNipo
255,6174,349.313,GrafoRandomDMediaHeurEmi
255,7081,564.822,GrafoRandomDMediaHeurNipo
255,6282,348.378,GrafoRandomDMediaHeurEmi
255,7064,579.51,GrafoRandomDMediaHeurNipo
255,6221,350.435,GrafoRandomDMediaHeurEmi
255,7040,576.472,GrafoRandomDMediaHeurNipo
255,6235,351.717,GrafoRandomDMediaHeurEmi
255,7012,564.415,GrafoRandomDMediaHeurNipo
255,6218,350.338,GrafoRandomDMediaHeurEmi
256,7065,584.336,GrafoRandomDMediaHeurNipo
256,6235,353.57,GrafoRandomDMediaHeurEmi
256,7090,571.777,GrafoRandomDMediaHeurNipo
256,6328,351.928,GrafoRandomDMediaHeurEmi
256,7086,558.749,GrafoRandomDMediaHeurNipo
256,6378,355.883,GrafoRandomDMediaHeurEmi
256,7135,573.448,GrafoRandomDMediaHeurNipo
256,6376,354.593,GrafoRandomDMediaHeurEmi
256,7046,528.908,GrafoRandomDMediaHeurNipo
256,6327,321.935,GrafoRandomDMediaHeurEmi
256,7080,569.802,GrafoRandomDMediaHeurNipo
256,6292,352.21,GrafoRandomDMediaHeurEmi
256,7113,584.471,GrafoRandomDMediaHeurNipo
